genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['arab pop', 'belly dance', 'egyptian pop', 'persian pop', 'rif']",Amr Diab,17,70,273.882,75,17,5,63,5367
"['cancion melodica', 'cantautor', 'latin pop', 'nueva cancion', 'spanish pop']",Ana Belén,33,60,262.37129,51,23,9,39,5186
"['grupera', 'latin', 'mexican pop', 'regional mexican']",Ana Bárbara,35,72,213.38521,61,10,5,68,5000
"['latin', 'latin pop', 'mariachi', 'ranchera']",Ana Gabriel,44,56,229.29995,40,18,4,47,5278
"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'spanish pop']",Ana Torroja,33,67,275.373,77,32,3,70,6500
"['dance pop', 'latin pop', 'post-teen pop']",Anahí,18,62,212.36833,81,19,6,70,6078
"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']",Anarbor,2,59,178.91467,89,17,6,67,5433
"['dance pop', 'europop']",Anastacia,40,76,245.4,72,8,6,65,4200
"['christian alternative rock', 'christian rock', 'dreamo', 'emo', 'pop punk', 'pop rock', 'post-hardcore', 'screamo']",Anberlin,9,45,207.045,77,15,5,50,4913
"['adult standards', 'classical tenor', 'italian tenor', 'operatic pop']",Andrea Bocelli,79,37,268.59766,43,12,4,28,5322
['scandipop'],Andreas Moss,41,51,242.68,63,16,15,4,6700
"['acoustic pop', 'indie anthem-folk', 'indie folk', 'indie poptimism', 'indiecoustica', 'neo mellow', 'pop rock']",Andrew Belle,32,51,279.87675,54,12,3,23,5600
"['art pop', 'baroque pop', 'chamber pop', 'chicago indie', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'stomp and holler']",Andrew Bird,33,55,229.06325,60,17,5,51,4825
"['soft rock', 'underground power pop']",Andrew Gold,22,72,213.28561,58,21,8,81,4865
